Número REDS;Qtde Ocorrências;Natureza Principal Completa;Ano Fato;Mês Fato Resumido;Mês Numérico Fato;Data Fato;Dia da Semana Fato;Horário Fato;Faixa 1 Hora Fato;Faixa 6 Horas Fato;Alvo;Causa Presumida;Desc Longa Meio Utilizado;Descrição Grupo Local Imediato;Descrição Local Imediato;Logradouro Ocorrência - Tipo;Bairro;Bairro Não Cadastrado;Bairro - FATO FINAL;Bairro - FATO FINAL - Municipio;Município;Município - Código;UF - Sigla;RISP ;RMBH 
2024-007227351-001;1;FURTO CONSUMADO;2024;FEV;2;15/02/2024;QUINTA-FEIRA;14:00:00;De 14:00 as 14:59        ;De 12:00 as 17:59        ;Estabelecimento Comercial;VANTAGEM ECONOMICA;CONHECIMENTO TECNICO ESPECIFICO;ESTABELECIMENTO COMERCIAL / SERVICOS;DROGARIA / FARMACIA;PRACA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-011356131-001;1;FURTO CONSUMADO;2024;MAR;3;12/03/2024;TERÇA-FEIRA;11:46:16;De 11:00 as 11:59        ;De 06:00 as 11:59        ;Estabelecimento Comercial;VANTAGEM ECONOMICA;ABUSO DE CONFIANCA;ESTABELECIMENTO COMERCIAL / SERVICOS;DROGARIA / FARMACIA;PRACA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-012254660-001;1;FURTO CONSUMADO;2024;MAR;3;17/03/2024;DOMINGO;17:00:00;De 17:00 as 17:59        ;De 12:00 as 17:59        ;Outros;IGNORADO;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);ESTABELECIMENTO COMERCIAL / SERVICOS;DROGARIA / FARMACIA;PRACA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-021863211-001;1;FURTO CONSUMADO;2024;MAI;5;09/05/2024;QUINTA-FEIRA;18:30:00;De 18:00 as 18:59        ;De 18:00 as 23:59        ;Estabelecimento Comercial;VANTAGEM ECONOMICA;ABUSO DE CONFIANCA;ESTABELECIMENTO COMERCIAL / SERVICOS;DROGARIA / FARMACIA;PRACA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-029126821-001;1;FURTO CONSUMADO;2024;JUN;6;28/06/2024;SEXTA-FEIRA;15:41:56;De 15:00 as 15:59        ;De 12:00 as 17:59        ;Estabelecimento Comercial;VANTAGEM ECONOMICA;CONHECIMENTO TECNICO ESPECIFICO;ESTABELECIMENTO COMERCIAL / SERVICOS;DROGARIA / FARMACIA;PRACA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-036279370-001;1;FURTO CONSUMADO;2024;AGO;8;13/08/2024;TERÇA-FEIRA;19:55:00;De 19:00 as 19:59        ;De 18:00 as 23:59        ;Estabelecimento Comercial;VANTAGEM ECONOMICA;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);ESTABELECIMENTO COMERCIAL / SERVICOS;DROGARIA / FARMACIA;PRACA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-041460143-001;1;FURTO CONSUMADO;2024;SET;9;10/09/2024;TERÇA-FEIRA;14:10:00;De 14:00 as 14:59        ;De 12:00 as 17:59        ;Outros;IGNORADO;OUTROS MEIOS (DESCREVER EM CAMPO ESPECIFICO);ESTABELECIMENTO COMERCIAL / SERVICOS;DROGARIA / FARMACIA;PRACA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-044664120-001;1;FURTO CONSUMADO;2024;OUT;10;04/10/2024;SEXTA-FEIRA;13:51:27;De 13:00 as 13:59        ;De 12:00 as 17:59        ;Outros;VANTAGEM ECONOMICA;ABUSO DE CONFIANCA;VIA DE ACESSO;VIA DE ACESSO PUBLICA;PRACA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2024-046946135-001;1;FURTO CONSUMADO;2024;OUT;10;18/10/2024;SEXTA-FEIRA;12:05:00;De 12:00 as 12:59        ;De 12:00 as 17:59        ;Estabelecimento Comercial;VANTAGEM ECONOMICA;MEDIANTE FRAUDE;ESTABELECIMENTO COMERCIAL / SERVICOS;DROGARIA / FARMACIA;PRACA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
2025-015904706-001;1;FURTO CONSUMADO;2025;ABR;4;06/04/2025;DOMINGO;19:02:49;De 19:00 as 19:59        ;De 18:00 as 23:59        ;Estabelecimento Comercial;VANTAGEM ECONOMICA;MEIO DESCONHECIDO;ESTABELECIMENTO COMERCIAL / SERVICOS;DROGARIA / FARMACIA;PRACA;CENTRO;;CENTRO;CENTRO, POUSO ALEGRE;POUSO ALEGRE;315250;MG;17;3) Interior de MG
